,Date,Incident,Injured,Killed,Location,State
221,2017-04-29,/incident/835459,3,1,Murchison St and Lancaster Ave,California
222,2017-04-29,/incident/831800,5,1,10000 block of Carmentia Rd,California
219,2017-04-30,/incident/832528,1,4,4104 SW 28th,Kansas
220,2017-04-30,/incident/832309,5,1,268 N Sea Green Rd,South Carolina
206,2017-04-30,/incident/832679,6,2,9080 Judicial Dr,California
207,2017-04-30,/incident/833128,5,0,1200 Ken Knight Dr N,Florida
218,2017-05-01,/incident/833152,3,2,3200 block of Reynolds Ave,Texas
205,2017-05-02,/incident/834832,3,1,1566 West 24th Street,Florida
217,2017-05-04,/incident/835961,3,1,600 block of Copeman Boulevard,Michigan
204,2017-05-07,/incident/838272,8,2,2600 block of 46th Pl,Illinois
216,2017-05-09,/incident/839846,1,3,1900 block of S. Boeke,Kansas
203,2017-05-10,/incident/840339,3,1,300 block of Centre St,New Jersey
214,2017-05-14,/incident/843045,5,0,14112 Chicago Road,Illinois
202,2017-05-14,/incident/843172,5,0,Hal McRae Blvd and Delaney Ave,Florida
201,2017-05-14,/incident/843078,6,1,311 S Main St,Arkansas
215,2017-05-14,/incident/843590,4,0,8600 block of Calmont Ave,Texas
213,2017-05-16,/incident/845364,1,3,21785 Lowcountry Hwy,South Carolina
200,2017-05-20,/incident/848292,10,0,2100 block of W Huntingdon St,Pennsylvania
212,2017-05-21,/incident/849215,4,0,441 N Val Vista Dr,Arizona
199,2017-05-21,/incident/848680,3,1,4300 Beaver Dr,Iowa
186,2017-05-26,/incident/852676,4,0,2730 NW 167th St,Florida
185,2017-05-27,/incident/853119,7,1,100 block of Q Street Northwest,District of Columbia
198,2017-05-27,/incident/853756,1,8,2871 Lee Drive,Mississippi
197,2017-05-27,/incident/853032,4,0,318 W 14th St,New York
183,2017-05-28,/incident/853901,12,0,100 block of 6th Street South,Alabama
184,2017-05-28,/incident/853920,5,0,6103 Hwy. 63,Mississippi
196,2017-05-28,/incident/853796,5,1,86 Main Street,New Jersey
195,2017-05-29,/incident/855113,3,1,231 Witherspoon St,Kentucky
182,2017-05-30,/incident/855764,3,1,1200 Elliott Dr,Ohio
194,2017-06-01,/incident/857443,1,3,Beacon Ave and Lillian Ave,Missouri
181,2017-06-02,/incident/858877,3,1,89th St and Broadway,California
193,2017-06-02,/incident/858378,3,2,5301 McPherson Rd,Texas
192,2017-06-03,/incident/858810,2,2,1600 Block of Union Blvd,Missouri
180,2017-06-03,/incident/858719,2,3,3717 Tulane Ave,Louisiana
179,2017-06-05,/incident/859875,0,6,2427 Forsyth Rd,Florida
191,2017-06-06,/incident/861307,2,3,2232 Alta Canyon Drive,Utah
178,2017-06-08,/incident/863075,6,0,3650 Franklin Ave,Louisiana
190,2017-06-09,/incident/864370,5,2,East Davis Avenue and New York Avenue,Texas
177,2017-06-10,/incident/865186,4,0,571 East Street,Tennessee
188,2017-06-11,/incident/864743,9,0,3300 block of W Douglas Blvd,Illinois
189,2017-06-11,/incident/865371,4,0,505 Cypress Station Dr,Texas
176,2017-06-11,/incident/864852,4,0,4272 Bonny Oaks Drive,Tennessee
175,2017-06-13,/incident/869474,4,0,Ferguson Ave and Plymouth Ave,Missouri
187,2017-06-13,/incident/866448,2,2,1200 block of Bonaparte Avenue,Maryland
174,2017-06-13,/incident/866412,4,0,3300 block of Ayrdale Avenue,Maryland
160,2017-06-14,/incident/868147,4,0,14th St. NE and Gibbs Ave. NE,Ohio
161,2017-06-14,/incident/866933,2,4,720 San Bruno,California
173,2017-06-14,/incident/866739,5,1,420 E Monroe Ave,Virginia
172,2017-06-15,/incident/868363,0,5,491 NM 111,New Mexico
159,2017-06-15,/incident/868042,3,1,4053 Old Brook Road,Virginia
158,2017-06-17,/incident/869357,4,1,6252 Busch Blvd,Ohio
171,2017-06-17,/incident/869838,4,0,1 block of North Latrobe,Illinois
170,2017-06-18,/incident/869968,7,0,311 N Ocean Blvd,South Carolina
169,2017-06-18,/incident/870222,4,0,3100 block of Buena Vista Terrace SE,District of Columbia
156,2017-06-18,/incident/870095,2,3,1900 block of N 14th St,Missouri
157,2017-06-18,/incident/869877,4,0,3300 block of W Crystal St,Illinois
